th,roman,en,de,cat
กินข้าว,gin khao,eat (a meal),essen (Mahlzeit),Alltag
ไปทำงาน,bpai tham ngaan,go to work,zur Arbeit gehen,Alltag
กลับบ้าน,klap baan,go home,nach Hause gehen,Alltag
อาบน้ำ,aap nam,take a shower,duschen,Alltag
แปรงฟัน,praeng fan,brush teeth,Zähne putzen,Alltag
ล้างมือ,lang mue,wash hands,Hände waschen,Alltag
ทำอาหาร,tham ahaan,cook,kochen,Alltag
ซักผ้า,sak phaa,do laundry,Wäsche waschen,Alltag
ตากผ้า,taak phaa,hang laundry,Wäsche aufhängen,Alltag
ทำความสะอาด,tham khwam sa-aat,clean,putzen,Alltag
ชาร์จโทรศัพท์,chaat thorasap,charge phone,Handy laden,Alltag
ส่งข้อความ,song khokhwam,send message,Nachricht senden,Alltag
โทรหา,tho haa,call someone,jemanden anrufen,Alltag
นัด,nat,appointment,Termin,Alltag
สาย,saai,late,zu spät,Alltag
เดี๋ยว,diao,in a moment,gleich,Alltag
พร้อม,phrom,ready,bereit,Alltag
หิวมาก,hiu mak,very hungry,sehr hungrig,Alltag
อิ่มแล้ว,im laeo,I'm full,ich bin satt,Alltag
กระหายน้ำ,kra-haai nam,thirsty,durstig,Alltag
ร้อนมาก,ron mak,very hot,sehr heiss,Alltag
หนาว,nao,cold (weather),kalt,Alltag
ฝนตก,fon tok,it's raining,es regnet,Alltag
รถติด,rot tit,traffic jam,Stau,Alltag
เลี้ยวซ้าย,liao sai,turn left,links abbiegen,Alltag
เลี้ยวขวา,liao khwa,turn right,rechts abbiegen,Alltag
ใกล้ถึงแล้ว,klai thueng laeo,almost there,gleich da,Alltag
ไกลไหม,glai mai,is it far?,ist es weit?,Alltag
ซูเปอร์มาร์เก็ต,supermarket,supermarket,Supermarkt,Alltag
ตลาดสด,talat sot,fresh market,Frischmarkt,Alltag
พบหมอ,phop mo,see a doctor,zum Arzt,Alltag
ปวดท้อง,puat thong,stomachache,Bauchschmerzen,Alltag
เจ็บคอ,jep kho,sore throat,Halsschmerzen,Alltag
ไอ,ai,cough,Husten,Alltag
ยา,yaa,medicine,Medikament,Alltag
นอนพัก,non phak,rest,ausruhen,Alltag
ตู้เย็น,tu yen,fridge,Kühlschrank,Alltag
มีด,miit,knife,Messer,Alltag
ช้อน,chon,spoon,Löffel,Alltag
ส้อม,som,fork,Gabel,Alltag
จาน,jaan,plate,Teller,Alltag
แก้ว,kaeo,glass,Glas,Alltag
ขวด,khuat,bottle,Flasche,Alltag
น้ำตาล,namtan,sugar,Zucker,Alltag
เกลือ,kluea,salt,Salz,Alltag
พริก,phrik,chili,Chili,Alltag
ส้มตำ,som tam,papaya salad,Papayasalat,Alltag
ไก่ย่าง,kai yang,grilled chicken,Grillhuhn,Alltag
น้ำปลา,nam plaa,fish sauce,Fischsauce,Alltag
ไม่หวาน,mai waan,not sweet,nicht süss,Alltag
เพิ่มน้ำแข็ง,phoem nam khaeng,add ice,mehr Eis,Alltag
ใส่ถุง,sai thung,put in a bag,in die Tüte,Alltag
เงินทอน,ngoen thon,change (money),Wechselgeld,Alltag
ค่าเช่า,khaa chao,rent,Miete,Alltag
ค่าไฟ,khaa fai,electricity bill,Stromrechnung,Alltag
ค่าน้ำ,khaa nam,water bill,Wasserrechnung,Alltag
สัญญาณ,sanyan,signal,Signal,Alltag
รหัสผ่าน,rahat phan,password,Passwort,Alltag
แผนที่,phaen thii,map,Karte,Alltag
ที่อยู่,thii yuu,address,Adresse,Alltag
ดาวน์โหลด,download,download,downloaden,Alltag
อัปโหลด,upload,upload,uploaden,Alltag
บันทึก,banthuek,save,speichern,Alltag
ลบ,lop,delete,löschen,Alltag
พัดลม,phat lom,fan,Ventilator,Alltag
แอร์,ae,aircon,Klimaanlage,Alltag
ปลั๊ก,plak,plug,Stecker,Alltag
สายชาร์จ,sai chaart,charger cable,Ladekabel,Alltag
แบตเตอรี่,baet dterii,battery,Batterie,Alltag
เปิดประตู,poet pratuu,open the door,Tür öffnen,Alltag
ปิดประตู,pit pratuu,close the door,Tür schliessen,Alltag
เปิดหน้าต่าง,poet naa taang,open window,Fenster öffnen,Alltag
ปิดหน้าต่าง,pit naa taang,close window,Fenster schliessen,Alltag
พัง,phang,broken,kaputt,Alltag
ซ่อม,som,repair,reparieren,Alltag
กวาด,kwaat,sweep,fegen,Alltag
ถูพื้น,thuu pheun,mop floor,Boden wischen,Alltag
พักผ่อน,phak phon,relax,ausruhen,Alltag
ออกกำลังกาย,ok kamlangkai,exercise,trainieren,Alltag
ไปตลาด,bpai talat,go to the market,zum Markt gehen,Alltag
ซื้อของ,sue khong,shop/buy things,einkaufen,Alltag
ล้างจาน,lang jaan,wash dishes,abwaschen,Alltag
สบู่,sabuu,soap,Seife,Alltag
ยาสีฟัน,yaa sii fan,toothpaste,Zahnpasta,Alltag
แชมพู,shaemphuu,shampoo,Shampoo,Alltag
ผ้าเช็ดตัว,phaa chet tua,towel,Handtuch,Alltag
เสื้อผ้า,suea phaa,clothes,Kleider,Alltag
รองเท้าแตะ,rong thao tae,sandals,Sandalen,Alltag
หมวกกันน็อก,muak kan nok,helmet,Helm,Alltag
เติมน้ำมัน,toem namman,refuel,tanken,Alltag
ปั๊มน้ำมัน,pam namman,gas station,Tankstelle,Alltag
คิว,khiu,queue,Warteschlange,Alltag
รอคิว,ro khiu,queue up,anstehen,Alltag
เช็คอิน,check-in,check in,einchecken,Alltag
เช็คเอาท์,check-out,check out,auschecken,Alltag
พาสปอร์ต,passport,passport,Pass,Alltag
ตั๋วรถ,tua rot,ticket,Fahrkarte,Alltag
ดัง,dang,loud,laut,Alltag
เบา,bao,quiet,leise,Alltag
ปลอดภัย,plotphai,safe,sicher,Alltag
อันตราย,antrai,dangerous,gefährlich,Alltag
ทางเข้า,thang khao,entrance,Eingang,Alltag
ทางออก,thang ok,exit,Ausgang,Alltag
บันได,ban dai,stairs,Treppe,Alltag
ลิฟต์,lift,elevator,Lift,Alltag
ห้องนอน,hong non,bedroom,Schlafzimmer,Alltag
ห้องนั่งเล่น,hong nang len,living room,Wohnzimmer,Alltag
นาฬิกา,naalikaa,watch/clock,Uhr,Alltag
ทิชชู่,thit-chuu,tissue,Taschentuch,Alltag
กระดาษ,kradat,paper,Papier,Alltag
ปากกา,paak gaa,pen,Stift,Alltag
สมุด,samut,notebook,Notizbuch,Alltag
จด,jot,note down,notieren,Alltag
รูปถ่าย,ruup thaai,photo,Foto,Alltag
กล้อง,klong,camera,Kamera,Alltag
เพลง,phleng,song,Lied,Alltag
หนัง,nang,movie,Film,Alltag
หนังสือ,nang sue,book,Buch,Alltag
อ่านข่าว,aan khao,read news,Nachrichten lesen,Alltag
ดูทีวี,duu thii-wii,watch TV,fernsehen,Alltag
นอนเร็ว,non reo,sleep early,früh schlafen,Alltag
ตื่นเช้า,tuen chao,wake up early,früh aufstehen,Alltag
ไปนอน,bpai non,go to sleep,schlafen gehen,Alltag
ตื่นแล้ว,tuen laeo,awake already,schon wach,Alltag
ขอโทษนะ,kho thot na,sorry (soft),sorry,Alltag
ขอบคุณมาก,khop khun mak,thank you very much,vielen Dank,Alltag
ช่วยด้วย,chuay duay,help!,Hilfe!,Alltag
ได้เลย,dai loei,sure,klar,Alltag
น้ำเปล่า,nam plao,plain water,stilles Wasser,Alltag
น้ำอัดลม,nam at lom,soft drink,Cola,Alltag
กาแฟเย็น,kaafae yen,iced coffee,Eiskaffee,Alltag
ชานม,chaa nom,milk tea,Milchtee,Alltag
ขนม,khanom,snack/sweet,Süssigkeit,Alltag
ขนมปัง,khanom pang,bread,Brot,Alltag
เนย,noei,butter,Butter,Alltag
เสื้อกันฝน,suea kan fon,raincoat,Regenjacke,Alltag
รองเท้า,rong thao,shoes,Schuhe,Alltag
เสื้อยืด,suea yued,t-shirt,T-Shirt,Alltag
กางเกงยีนส์,kang keng yiin,jeans,Jeans,Alltag
แจ็กเก็ต,jaek-ket,jacket,Jacke,Alltag
หมวก,muak,hat,Hut/Mütze,Alltag
แว่นตา,waen taa,glasses,Brille,Alltag
กระเป๋า,krapao,bag,Tasche,Alltag
กุญแจ,kunjae,key,Schlüssel,Alltag
เปิดไฟ,poet fai,turn on light,Licht einschalten,Alltag
ปิดไฟ,pit fai,turn off light,Licht ausschalten,Alltag
ทานข้าว,taan khao,eat (polite),essen (höflich),Alltag
ไปไหน,bpai nai,where are you going?,wo gehst du hin?,Alltag
อยู่ไหน,yuu nai,where are you?,wo bist du?,Alltag
เจอกัน,joe kan,see you,bis später,Alltag
โทรกลับ,tho klap,call back,zurückrufen,Alltag
ส่งรูป,song ruup,send a photo,Foto schicken,Alltag
เปิดแผนที่,poet phaen thii,open the map,Karte öffnen,Alltag
ทางนี้,thang nii,this way,hier entlang,Alltag
ทางนั้น,thang nan,that way,dort entlang,Alltag
หยุด,yut,stop,stopp,Alltag
เริ่ม,roem,start,starten,Alltag
เสร็จแล้ว,set laeo,finished,fertig,Alltag
ยังไม่เสร็จ,yang mai set,not finished yet,noch nicht fertig,Alltag
ช้าไป,cha bpai,too slow,zu langsam,Alltag
เร็วไป,reo bpai,too fast,zu schnell,Alltag
เปิด,poet,open,öffnen,Alltag
ปิด,pit,close,schliessen,Alltag
สะอาด,sa-aat,clean,sauber,Alltag
สกปรก,sa-kaprok,dirty,dreckig,Alltag
ราคาแพง,rakhaa phaeng,expensive,teuer,Alltag
ราคาถูก,rakhaa thuk,cheap,günstig,Alltag
ลดราคา,lot rakhaa,discount,Rabatt,Alltag
ใบเสร็จ,bai set,receipt,Quittung,Alltag
จ่ายเงิน,jai ngoen,pay,bezahlen,Alltag
เงินสด,ngoen sot,cash,Bargeld,Alltag
บัตรเครดิต,bat kredit,credit card,Kreditkarte,Alltag
ส่งของ,song khong,send a package,Paket schicken,Alltag
รับของ,rap khong,receive a package,Paket erhalten,Alltag
เปิดบัญชี,poet banchi,open an account,Konto eröffnen,Alltag
ถอนเงิน,thon ngoen,withdraw money,Geld abheben,Alltag
ฝากเงิน,faak ngoen,deposit money,Geld einzahlen,Alltag
โทรศัพท์มือถือ,thorasap muea-thue,mobile phone,Handy,Alltag
อินเทอร์เน็ต,internet,internet,Internet,Alltag
ไวไฟ,wifi,wifi,WLAN,Alltag
สัญญาณไม่ดี,sanyan mai dee,bad signal,schlechter Empfang,Alltag
ช้า,cha,slow,langsam,Alltag
เร็ว,reo,fast,schnell,Alltag
ร้อน,ron,hot,heiss,Alltag
เย็น,yen,cool/cold,kühl/kalt,Alltag
ฝนหยุดแล้ว,fon yut laeo,rain stopped,Regen hat aufgehört,Alltag
สวัสดี,sawatdee,hello,hallo,Alltag
ลาก่อน,laa kon,goodbye,tschüss,Alltag
ขอบคุณ,khop khun,thank you,danke,Alltag
ขอโทษ,kho thot,sorry,entschuldigung,Alltag
ไม่เป็นไร,mai pen rai,no problem,macht nichts,Alltag
ใช่,chai,yes,ja,Alltag
ไม่,mai,no,nein,Alltag
ได้,dai,can,kann,Alltag
ไม่ได้,mai dai,cannot,kann nicht,Alltag
ช่วย,chuay,help,helfen,Alltag
กรุณา,karuna,please,bitte,Alltag
โอเค,ok,okay,ok,Alltag
ดี,dee,good,gut,Alltag
แย่,yae,bad,schlecht,Alltag
